hr_deviation,sleep_hours,activity_minutes,label
1.014,8.96,40.1,LOW
0.96,8.8,58.4,LOW
1.08,6.01,64.9,MODERATE
0.999,7.94,50.5,LOW
0.974,8.89,45.5,LOW
1.076,6.77,41.5,MODERATE
1.085,7.33,64.8,MODERATE
1.079,6.25,34.8,MODERATE
1.026,7.85,24.6,LOW
1.07,6.42,54.7,MODERATE
0.98,7.5,22.5,LOW
0.954,8.61,30.3,LOW
0.953,8.33,43.2,LOW
1.057,7.62,53.8,LOW
1.138,4.2,59.4,HIGH
1.087,5.64,46.1,HIGH
1.036,8.01,49.5,LOW
0.952,7.64,28.5,LOW
1.092,4.39,82.5,HIGH
1.113,6.27,40.7,MODERATE
1.091,6.35,65.5,MODERATE
1.117,5.48,79.9,HIGH
1.065,6.19,33.8,MODERATE
1.06,6.19,32.7,MODERATE
1.23,5.41,68.1,HIGH
1.024,7.23,55.9,LOW
1.095,5.36,58.8,HIGH
1.058,8.71,43.7,LOW
1.102,5.71,69.0,HIGH
1.032,6.9,53.3,MODERATE
1.119,7.45,68.7,MODERATE
1.131,6.02,49.5,HIGH
1.093,5.85,84.3,HIGH
1.225,4.84,81.9,HIGH
1.054,7.29,73.2,MODERATE
1.135,6.44,65.4,HIGH
1.112,7.15,45.2,MODERATE
1.045,6.89,34.5,MODERATE
1.231,4.85,59.1,HIGH
1.084,6.33,49.1,MODERATE
1.048,6.07,53.5,MODERATE
1.096,4.77,80.5,HIGH
1.096,4.38,71.1,HIGH
1.115,6.11,49.4,MODERATE
1.045,8.69,56.0,LOW
1.077,6.34,40.5,MODERATE
1.005,8.85,51.6,LOW
1.1,6.8,57.4,MODERATE
1.048,8.46,20.7,LOW
1.102,6.28,56.7,MODERATE
0.952,7.2,25.0,LOW
1.084,6.79,60.3,MODERATE
1.116,6.02,66.0,HIGH
1.091,6.63,62.4,MODERATE
1.169,6.42,87.0,HIGH
1.138,4.35,74.4,HIGH
1.083,5.55,70.6,HIGH
1.081,6.65,64.9,MODERATE
1.194,6.28,46.2,HIGH
1.045,6.8,70.0,MODERATE
0.966,8.16,30.6,LOW
0.998,7.72,39.7,LOW
1.106,6.89,45.4,MODERATE
1.086,4.88,68.3,HIGH
0.981,8.44,44.5,LOW
0.995,7.68,36.6,LOW
1.1,4.55,47.8,HIGH
1.081,4.14,56.5,HIGH
1.015,7.76,31.4,LOW
1.058,6.97,53.6,MODERATE
1.135,5.03,59.4,HIGH
1.102,7.1,65.7,MODERATE
1.061,8.36,45.1,LOW
1.121,5.81,73.5,HIGH
1.004,7.46,51.3,LOW
1.229,4.43,61.4,HIGH
1.017,8.5,56.9,LOW
1.049,8.29,52.6,LOW
1.17,4.41,43.3,HIGH
1.111,4.17,62.4,HIGH
1.055,7.21,36.2,MODERATE
1.11,6.07,34.6,MODERATE
0.988,7.09,29.1,LOW
1.142,4.52,41.4,HIGH
1.173,5.39,46.5,HIGH
1.026,7.42,36.4,LOW
1.223,5.05,52.0,HIGH
1.1,6.08,40.8,MODERATE
1.064,8.13,34.7,LOW
1.002,7.58,27.0,LOW
1.124,4.63,66.4,HIGH
1.043,7.24,52.6,MODERATE
1.06,7.33,44.4,MODERATE
1.07,7.39,50.2,LOW
0.977,7.83,44.9,LOW
1.084,6.53,43.3,MODERATE
0.98,8.02,41.3,LOW
1.058,7.01,44.6,MODERATE
1.083,6.23,72.5,MODERATE
1.067,8.83,39.6,LOW
1.099,6.19,41.3,MODERATE
1.044,7.36,33.2,MODERATE
1.098,4.47,46.6,HIGH
1.087,6.05,69.6,MODERATE
1.088,6.71,45.4,MODERATE
0.959,8.8,27.8,LOW
1.05,8.14,54.8,LOW
1.248,4.88,46.0,HIGH
0.979,7.14,47.1,LOW
0.977,8.8,33.6,LOW
1.075,6.65,46.0,MODERATE
1.032,8.85,46.2,LOW
1.12,4.37,51.3,HIGH
1.043,6.77,61.6,MODERATE
1.165,4.35,67.9,HIGH
1.147,5.63,56.4,HIGH
1.212,4.14,83.3,HIGH
1.071,6.95,71.0,MODERATE
0.975,7.66,27.0,LOW
0.97,8.44,40.6,LOW
1.23,6.2,88.4,HIGH
1.127,6.2,43.9,HIGH
1.245,6.44,89.8,HIGH
1.062,8.49,24.2,LOW
1.066,6.9,48.3,MODERATE
1.113,4.91,81.0,HIGH
1.03,8.22,53.6,LOW
1.1,6.02,50.2,MODERATE
1.193,5.77,85.2,HIGH
1.12,6.76,59.5,MODERATE
1.098,6.05,68.3,HIGH
1.106,6.38,59.3,HIGH
1.094,6.38,65.0,MODERATE
1.031,7.76,46.9,LOW
1.085,6.11,42.8,HIGH
1.171,4.67,65.1,HIGH
1.077,6.09,36.1,MODERATE
1.07,7.34,55.9,MODERATE
1.151,5.72,48.0,HIGH
1.065,7.41,50.6,LOW
1.118,6.44,79.9,HIGH
1.242,5.23,88.1,HIGH
1.035,8.34,50.8,LOW
1.155,4.77,51.6,HIGH
1.034,7.81,24.9,LOW
1.181,5.07,68.8,HIGH
1.179,4.08,55.5,HIGH
1.119,6.78,56.7,MODERATE
1.202,5.15,80.8,HIGH
1.05,7.31,58.8,MODERATE
1.006,8.02,59.5,LOW
0.965,8.72,23.7,LOW
1.104,4.3,48.5,HIGH
1.065,7.26,48.7,LOW
1.111,4.02,45.2,HIGH
1.153,6.12,87.3,HIGH
1.209,5.26,50.4,HIGH
1.006,8.23,26.3,LOW
1.167,5.34,50.9,HIGH
1.228,5.9,54.1,HIGH
1.098,6.8,73.1,MODERATE
1.186,4.1,77.9,HIGH
1.202,4.92,82.0,HIGH
1.176,4.91,58.3,HIGH
0.968,7.88,37.8,LOW
1.045,8.23,28.7,LOW
1.045,6.22,69.5,MODERATE
1.089,7.4,35.3,MODERATE
1.245,4.02,53.2,HIGH
1.166,4.51,53.5,HIGH
1.032,7.27,67.6,MODERATE
1.025,7.69,30.4,LOW
1.007,8.36,45.1,LOW
1.097,4.29,89.2,HIGH
0.961,8.9,23.2,LOW
1.063,6.0,46.1,MODERATE
1.117,5.15,63.7,HIGH
1.171,5.08,64.1,HIGH
1.11,6.62,60.0,MODERATE
1.027,7.55,38.1,LOW
1.118,7.33,72.5,MODERATE
1.138,6.09,85.1,HIGH
1.084,7.01,48.2,MODERATE
1.107,6.06,49.6,MODERATE
1.03,6.66,63.6,MODERATE
0.992,7.27,59.4,LOW
1.141,4.78,65.6,HIGH
0.993,8.64,56.9,LOW
1.066,7.69,27.5,LOW
1.089,4.35,80.7,HIGH
1.052,6.2,36.9,MODERATE
1.129,5.87,75.3,HIGH
1.06,6.35,47.2,MODERATE
1.037,7.36,42.0,MODERATE
1.093,6.31,79.3,HIGH
1.183,4.4,67.8,HIGH
1.071,6.98,57.4,MODERATE
1.083,6.04,59.6,MODERATE
1.048,7.43,51.5,LOW
1.104,7.36,40.4,MODERATE
1.061,8.35,22.7,LOW
1.103,4.62,47.4,HIGH
1.063,6.71,52.1,MODERATE
1.222,4.06,75.3,HIGH
1.137,5.14,65.3,HIGH
1.245,4.09,75.1,HIGH
1.022,8.3,46.0,LOW
0.973,8.22,51.1,LOW
1.12,5.39,76.5,HIGH
1.114,5.33,84.8,HIGH
1.11,6.29,73.7,MODERATE
0.995,7.1,27.1,LOW
1.03,8.6,26.2,LOW
1.074,6.56,36.0,MODERATE
1.064,6.7,72.5,MODERATE
1.042,8.24,53.7,LOW
1.031,7.98,49.5,LOW
1.057,7.84,59.4,LOW
1.231,4.72,49.4,HIGH
1.082,5.22,77.6,HIGH
1.168,5.96,80.5,HIGH
1.155,4.77,59.7,HIGH
1.131,5.05,48.9,HIGH
0.958,8.02,49.7,LOW
1.248,5.86,67.4,HIGH
1.091,7.36,59.0,MODERATE
1.016,7.65,46.2,LOW
0.998,8.96,53.2,LOW
1.078,6.6,47.3,MODERATE
1.065,6.22,36.0,MODERATE
1.052,6.9,48.8,MODERATE
1.054,6.28,48.6,MODERATE
1.027,8.65,35.6,LOW
0.996,8.26,31.9,LOW
1.035,6.54,38.0,MODERATE
0.961,7.51,29.8,LOW
1.047,7.76,20.6,LOW
1.016,7.91,32.4,LOW
1.174,4.29,64.7,HIGH
1.098,7.05,33.7,MODERATE
1.058,6.07,39.4,MODERATE
0.99,8.6,56.3,LOW
0.964,8.36,46.7,LOW
1.099,6.23,43.1,HIGH
1.043,6.78,63.5,MODERATE
0.979,8.25,51.0,LOW
1.241,5.45,43.9,HIGH
0.997,8.95,31.1,LOW
0.996,8.66,38.8,LOW
1.092,6.87,54.5,MODERATE
1.002,7.04,27.1,LOW
1.051,8.22,56.3,LOW
1.007,8.52,50.8,LOW
1.053,6.18,33.3,MODERATE
1.103,5.57,75.7,HIGH
1.041,7.82,49.8,LOW
1.083,5.42,67.0,HIGH
1.027,7.55,48.1,LOW
1.0,8.66,55.1,LOW
1.1,6.69,60.7,MODERATE
1.063,6.77,72.3,MODERATE
0.971,7.11,53.4,LOW
1.101,4.14,48.2,HIGH
1.197,5.03,51.4,HIGH
1.061,6.16,44.8,MODERATE
0.982,8.39,51.2,LOW
1.17,4.14,68.3,HIGH
1.222,6.11,81.1,HIGH
1.097,4.61,57.3,HIGH
1.01,9.0,40.7,LOW
1.059,8.18,28.4,LOW
1.031,7.94,51.9,LOW
1.05,6.71,40.3,MODERATE
1.138,4.7,87.7,HIGH
1.044,6.83,39.6,MODERATE
1.043,8.76,48.2,LOW
0.967,7.81,33.4,LOW
1.033,7.11,62.1,MODERATE
0.96,7.62,53.8,LOW
1.081,6.91,69.3,MODERATE
1.069,7.49,39.8,LOW
1.098,4.8,65.4,HIGH
0.959,7.15,34.2,LOW
0.985,7.18,49.5,LOW
1.042,7.08,71.9,MODERATE
0.952,7.53,55.9,LOW
1.133,5.14,84.1,HIGH
1.105,4.49,82.3,HIGH
1.116,6.71,71.8,MODERATE
0.956,8.81,30.1,LOW
1.053,6.54,40.1,MODERATE
1.053,8.13,57.8,LOW
1.009,7.36,20.7,LOW
1.033,6.12,31.6,MODERATE
1.112,6.07,41.3,MODERATE
1.14,4.76,49.3,HIGH
1.116,6.36,31.0,MODERATE
1.055,8.44,48.1,LOW
1.038,6.7,59.2,MODERATE
1.025,8.26,41.1,LOW
1.096,6.65,56.7,MODERATE
1.237,5.01,74.7,HIGH
1.039,8.18,38.3,LOW
1.098,4.17,83.6,HIGH
1.235,5.99,50.1,HIGH
1.033,7.37,50.9,MODERATE
1.146,5.1,76.3,HIGH
1.18,6.03,58.5,HIGH
1.094,4.07,81.2,HIGH
1.042,6.52,44.9,MODERATE
1.16,5.23,66.9,HIGH
1.113,6.46,42.3,HIGH
0.997,8.56,24.3,LOW
1.071,6.79,61.5,MODERATE
0.989,8.52,53.6,LOW
1.024,7.39,23.1,LOW
1.13,5.23,60.4,HIGH
1.045,6.2,37.3,MODERATE
1.128,5.68,80.5,HIGH
1.183,5.21,64.3,HIGH
1.032,6.24,32.2,MODERATE
1.192,5.27,88.2,HIGH
1.046,8.04,30.2,LOW
0.959,8.18,56.9,LOW
1.026,8.81,21.9,LOW
1.156,4.53,81.9,HIGH
1.206,6.23,78.8,HIGH
0.963,7.33,31.1,LOW
1.008,8.12,32.8,LOW
1.208,6.49,63.4,HIGH
0.99,7.82,42.4,LOW
1.041,6.56,37.0,MODERATE
1.218,4.42,60.0,HIGH
1.105,5.56,78.2,HIGH
1.096,6.63,54.7,MODERATE
1.07,6.29,74.9,MODERATE
1.127,4.03,68.8,HIGH
1.218,5.0,70.5,HIGH
1.082,4.6,54.9,HIGH
1.113,7.27,58.1,MODERATE
1.058,6.14,60.7,MODERATE
0.964,8.19,59.0,LOW
1.031,8.78,31.9,LOW
1.087,7.33,46.9,MODERATE
1.052,7.35,50.5,MODERATE
1.163,6.4,45.0,HIGH
1.087,6.05,41.3,HIGH
1.065,6.05,59.5,MODERATE
1.24,6.02,47.8,HIGH
1.063,6.35,55.1,MODERATE
1.109,6.27,55.0,MODERATE
1.068,6.05,58.5,MODERATE
1.055,8.1,26.1,LOW
1.09,6.32,71.8,MODERATE
1.241,4.27,41.1,HIGH
0.981,7.1,25.6,LOW
1.041,7.19,40.1,LOW
1.084,5.95,40.4,HIGH
1.068,6.14,51.3,MODERATE
1.064,8.42,21.8,LOW
1.073,7.08,57.4,MODERATE
1.24,4.54,75.6,HIGH
1.058,8.9,22.0,LOW
1.116,7.29,62.6,MODERATE
1.088,6.24,64.5,MODERATE
1.158,4.53,50.7,HIGH
1.077,6.49,48.2,MODERATE
1.088,7.44,49.0,MODERATE
1.063,6.32,74.4,MODERATE
1.092,6.86,54.6,MODERATE
1.231,5.67,69.5,HIGH
1.089,6.02,73.1,MODERATE
1.036,8.5,41.5,LOW
1.044,6.93,35.9,MODERATE
1.239,4.16,47.8,HIGH
1.105,5.32,87.3,HIGH
1.098,6.03,52.3,MODERATE
1.058,7.98,23.4,LOW
0.966,7.31,48.6,LOW
1.233,6.07,67.6,HIGH
0.996,8.26,34.0,LOW
1.078,6.71,52.2,MODERATE
1.093,6.95,38.2,MODERATE
1.035,6.21,51.2,MODERATE
1.119,5.51,87.5,HIGH
1.154,4.36,46.2,HIGH
1.067,7.17,48.5,MODERATE
1.071,6.84,60.3,MODERATE
1.045,7.35,53.5,LOW
1.047,6.28,56.9,MODERATE
1.0,8.74,21.3,LOW
1.121,6.45,70.8,HIGH
1.08,6.39,63.7,MODERATE
1.073,6.44,50.7,MODERATE
1.058,8.42,44.2,LOW
1.225,4.15,41.8,HIGH
1.237,4.34,87.9,HIGH
1.028,7.77,24.1,LOW
1.106,6.13,75.8,HIGH
1.049,8.18,57.9,LOW
1.198,4.98,50.7,HIGH
1.081,4.96,47.9,HIGH
1.014,7.75,55.0,LOW
1.013,8.16,22.5,LOW
1.212,6.02,86.9,HIGH
1.059,7.23,46.4,LOW
1.058,6.64,63.4,MODERATE
1.027,8.79,58.4,LOW
1.072,7.17,32.5,MODERATE
1.092,6.97,38.5,MODERATE
1.035,7.15,63.1,MODERATE
1.018,7.75,36.3,LOW
1.177,4.46,68.4,HIGH
1.032,6.2,67.2,MODERATE
1.05,8.62,26.7,LOW
1.048,8.27,58.7,LOW
1.042,7.61,29.2,LOW
1.114,7.0,43.3,MODERATE
0.998,8.16,30.0,LOW
1.136,5.7,81.7,HIGH
1.178,4.48,55.4,HIGH
1.089,6.23,31.0,MODERATE
1.211,5.55,74.7,HIGH
1.037,6.12,70.0,MODERATE
1.013,8.0,45.4,LOW
0.975,8.95,22.0,LOW
1.064,6.77,44.4,MODERATE
1.04,6.12,55.1,MODERATE
1.06,7.92,21.8,LOW
1.126,5.29,77.9,HIGH
1.03,6.59,64.4,MODERATE
1.24,4.8,73.6,HIGH
1.02,8.13,50.2,LOW
1.148,6.37,43.7,HIGH
1.108,5.7,42.7,HIGH
1.211,5.05,59.5,HIGH
1.07,7.15,46.6,MODERATE
1.079,6.22,37.9,MODERATE
1.051,6.39,58.0,MODERATE
1.237,4.25,63.8,HIGH
1.19,5.68,69.8,HIGH
1.034,8.44,53.9,LOW
1.128,6.33,47.5,HIGH
1.006,8.13,40.8,LOW
1.139,4.27,61.2,HIGH
0.952,8.44,55.7,LOW
1.125,6.01,66.5,HIGH
1.017,8.56,36.6,LOW
1.071,7.46,35.2,MODERATE
0.991,7.81,21.3,LOW
1.084,7.2,74.0,MODERATE
1.054,8.54,38.3,LOW
1.031,6.82,49.4,MODERATE
1.226,5.09,61.2,HIGH
1.047,7.2,34.8,MODERATE
1.037,7.35,66.4,MODERATE
1.063,6.8,55.7,MODERATE
1.087,6.56,67.5,MODERATE
1.082,5.68,71.3,HIGH
1.031,7.04,39.6,MODERATE
1.002,7.22,32.9,LOW
1.057,8.92,39.4,LOW
1.047,6.74,48.0,MODERATE
1.032,7.3,50.4,MODERATE
1.025,7.55,30.2,LOW
1.236,5.65,40.6,HIGH
1.084,4.32,43.1,HIGH
0.956,7.6,45.6,LOW
1.002,7.73,35.1,LOW
1.03,8.65,41.6,LOW
1.216,6.03,82.7,HIGH
1.204,4.07,80.0,HIGH
0.955,8.6,47.7,LOW
1.065,6.67,46.5,MODERATE
1.079,7.06,59.6,MODERATE
1.01,7.95,52.5,LOW
1.035,7.08,63.0,MODERATE
1.038,6.91,44.0,MODERATE
1.119,6.18,32.4,MODERATE
0.953,8.24,36.7,LOW
1.002,8.86,43.6,LOW
1.113,5.75,65.9,HIGH
1.139,5.47,42.6,HIGH
1.141,6.44,76.0,HIGH
1.069,6.45,44.2,MODERATE
1.061,6.82,49.5,MODERATE
1.239,5.69,78.7,HIGH
0.961,8.34,41.7,LOW
0.976,8.83,25.2,LOW
1.024,8.38,20.4,LOW
1.086,7.35,65.3,MODERATE
0.955,7.95,54.3,LOW
1.053,6.25,41.7,MODERATE
1.06,8.5,57.0,LOW
1.213,5.0,73.2,HIGH
1.006,8.36,43.1,LOW
1.185,4.55,69.8,HIGH
1.028,7.67,36.0,LOW
1.156,6.18,70.2,HIGH
0.958,8.06,29.3,LOW
1.12,4.93,81.9,HIGH
0.972,8.38,60.0,LOW
1.142,4.49,72.7,HIGH
1.099,6.46,35.1,MODERATE
1.057,7.4,35.5,LOW
1.04,7.07,39.5,MODERATE
1.102,6.99,34.5,MODERATE
0.954,8.81,58.6,LOW
1.05,6.51,51.4,MODERATE
1.145,4.43,53.6,HIGH
1.081,4.43,42.6,HIGH
1.037,8.51,27.7,LOW
1.06,8.88,42.1,LOW
1.061,6.43,74.4,MODERATE
1.055,7.38,64.8,MODERATE
1.08,7.07,33.9,MODERATE
1.18,6.43,40.9,HIGH
0.967,7.66,29.2,LOW
1.054,8.8,57.2,LOW
1.22,6.34,55.8,HIGH
0.951,8.45,48.6,LOW
1.112,6.04,74.6,MODERATE
1.245,6.27,88.0,HIGH
1.093,7.42,44.2,MODERATE
1.122,6.5,75.4,HIGH
1.018,7.45,22.6,LOW
1.105,6.61,69.5,MODERATE
1.12,4.88,57.6,HIGH
1.106,6.19,59.5,HIGH
1.07,6.76,73.1,MODERATE
1.006,7.32,49.2,LOW
1.084,7.09,63.9,MODERATE
1.23,4.73,57.8,HIGH
1.025,7.89,43.8,LOW
1.07,7.7,57.9,LOW
1.175,4.23,88.8,HIGH
1.236,5.43,84.2,HIGH
1.003,8.88,39.5,LOW
1.024,7.15,29.0,LOW
1.124,4.81,69.5,HIGH
1.249,5.9,86.2,HIGH
1.124,5.08,74.7,HIGH
1.058,7.29,56.1,MODERATE
1.101,6.61,42.3,MODERATE
1.024,7.87,51.8,LOW
1.051,7.47,64.9,MODERATE
1.064,8.52,21.6,LOW
1.038,6.01,68.2,MODERATE
1.04,6.69,39.4,MODERATE
1.004,8.18,21.8,LOW
1.044,7.12,54.5,LOW
1.149,6.2,70.0,HIGH
1.037,6.51,54.1,MODERATE
1.053,7.45,40.9,MODERATE
1.207,4.79,81.0,HIGH
1.107,7.39,56.3,MODERATE
1.203,5.05,86.8,HIGH
1.085,7.26,31.8,MODERATE
1.011,8.97,29.7,LOW
1.033,7.63,30.2,LOW
1.089,5.39,61.5,HIGH
1.01,8.84,32.6,LOW
1.085,5.81,50.2,HIGH
0.985,7.83,28.5,LOW
1.119,6.36,42.0,HIGH
1.099,6.62,50.6,MODERATE
1.196,4.45,71.8,HIGH
1.035,7.51,27.1,LOW
1.11,6.31,47.0,MODERATE
1.049,6.08,41.9,MODERATE
1.011,8.72,57.6,LOW
0.98,8.67,29.8,LOW
1.127,6.08,61.2,HIGH
1.102,5.81,77.6,HIGH
1.234,4.15,57.5,HIGH
1.078,7.06,60.0,MODERATE
1.058,7.29,67.1,MODERATE
0.979,8.21,24.0,LOW
1.101,5.87,45.4,HIGH
1.204,4.06,58.5,HIGH
1.188,6.09,88.9,HIGH
0.967,8.02,36.7,LOW
1.188,4.84,70.7,HIGH
1.05,8.82,56.9,LOW
0.98,7.7,32.9,LOW
0.966,8.45,52.6,LOW
1.225,4.71,62.6,HIGH
1.052,8.43,55.9,LOW
1.247,4.37,78.4,HIGH
0.963,8.98,28.0,LOW
1.136,5.56,75.7,HIGH
1.119,7.25,52.7,MODERATE
1.235,6.1,68.8,HIGH
1.002,7.9,27.7,LOW
1.064,6.06,49.6,MODERATE
1.207,4.97,58.3,HIGH
1.029,8.47,57.4,LOW
1.135,4.56,43.3,HIGH
1.243,4.73,74.9,HIGH
1.097,6.64,33.0,MODERATE
1.182,4.35,54.8,HIGH
1.095,6.19,65.3,MODERATE
1.219,5.86,71.0,HIGH
1.087,4.24,58.3,HIGH
1.096,5.92,73.3,HIGH
1.167,4.2,48.3,HIGH
1.011,7.48,33.3,LOW
1.011,8.6,44.5,LOW
1.179,5.32,76.8,HIGH
1.075,6.55,63.2,MODERATE
1.216,4.11,45.4,HIGH
1.205,6.35,75.5,HIGH
1.174,5.38,55.7,HIGH
1.193,4.52,84.8,HIGH
1.162,5.08,46.3,HIGH
