id,meal_name,meal_type,calories,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,season,tag,allergen,createdAt,updatedAt
1,Oats Bowl,breakfast,350.0,15.0,50.0,8.0,7.0,200.0,all,recovery,,2026-03-03 15:06:15,2026-03-03 15:06:15
2,Greek Yogurt Bowl,breakfast,400.0,25.0,35.0,10.0,5.0,180.0,all,recovery,,2026-03-03 15:06:15,2026-03-03 15:06:15
3,Grilled Chicken Salad,lunch,500.0,40.0,40.0,15.0,6.0,300.0,all,recovery,,2026-03-03 15:06:15,2026-03-03 15:06:15
4,Quinoa Veg Bowl,lunch,450.0,20.0,60.0,12.0,8.0,250.0,all,recovery,,2026-03-03 15:06:15,2026-03-03 15:06:15
5,Salmon with Veggies,dinner,600.0,45.0,30.0,25.0,6.0,350.0,all,recovery,,2026-03-03 15:06:15,2026-03-03 15:06:15
6,Tofu Stir Fry,dinner,550.0,35.0,45.0,18.0,7.0,320.0,all,recovery,,2026-03-03 15:06:15,2026-03-03 15:06:15
7,Peanut Butter Toast,breakfast,359.0,33.8,42.7,11.6,7.7,321.0,all,high_protein,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
8,Avocado Toast,breakfast,647.0,42.8,29.8,8.4,6.0,443.0,all,muscle_gain,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
9,Chia Pudding,breakfast,575.0,26.0,25.8,29.8,11.9,334.0,all,anti_inflammatory,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
10,Almond Oatmeal,breakfast,526.0,41.8,33.9,27.9,4.7,394.0,all,recovery,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
11,Egg Omelette,breakfast,466.0,22.9,34.2,28.0,6.6,442.0,all,anti_inflammatory,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
12,Apple Cinnamon Oats,breakfast,548.0,43.6,57.4,17.4,2.4,428.0,all,recovery,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
13,Apple Cinnamon Oats,breakfast,529.0,20.1,46.9,14.1,3.4,381.0,all,muscle_gain,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
14,Banana Pancakes,breakfast,392.0,49.8,28.4,14.2,4.5,361.0,all,high_protein,,2026-03-05 16:49:56,2026-03-05 16:49:56
15,Spinach Egg Wrap,breakfast,518.0,49.2,48.0,23.7,7.7,160.0,all,recovery,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
16,Apple Cinnamon Oats,breakfast,477.0,12.6,64.3,10.9,6.2,391.0,all,recovery,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
17,Granola Yogurt,breakfast,547.0,47.1,65.7,29.1,7.4,193.0,all,anti_inflammatory,,2026-03-05 16:49:56,2026-03-05 16:49:56
18,Greek Yogurt Bowl,breakfast,509.0,21.1,32.7,19.4,3.8,223.0,all,high_protein,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
19,Berry Smoothie,breakfast,574.0,18.8,41.8,29.4,4.2,290.0,all,energy,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
20,Greek Yogurt Bowl,breakfast,362.0,30.1,33.9,13.9,5.6,266.0,all,muscle_gain,,2026-03-05 16:49:56,2026-03-05 16:49:56
21,Protein Pancakes,breakfast,461.0,22.2,45.0,13.9,10.4,301.0,all,high_protein,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
22,Muesli Bowl,breakfast,599.0,13.2,52.4,19.8,10.0,152.0,all,muscle_gain,,2026-03-05 16:49:56,2026-03-05 16:49:56
23,Avocado Toast,breakfast,429.0,48.4,42.2,29.9,11.3,431.0,all,anti_inflammatory,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
24,Spinach Egg Wrap,breakfast,498.0,40.8,49.7,14.5,7.1,241.0,all,anti_inflammatory,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
25,Avocado Toast,breakfast,599.0,25.6,37.0,11.2,7.5,347.0,all,high_protein,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
26,Greek Yogurt Bowl,breakfast,405.0,45.9,28.6,18.4,9.2,294.0,all,muscle_gain,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
27,Vegetable Omelette,breakfast,646.0,24.3,24.0,9.9,5.8,220.0,all,high_protein,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
28,Egg Omelette,breakfast,588.0,30.1,29.2,10.4,5.2,389.0,all,anti_inflammatory,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
29,Greek Yogurt Bowl,breakfast,464.0,20.5,43.9,15.3,6.5,271.0,all,recovery,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
30,Protein Pancakes,breakfast,395.0,42.4,66.8,22.8,2.3,258.0,all,recovery,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
31,Peanut Butter Toast,breakfast,616.0,32.6,46.2,18.2,4.3,199.0,all,energy,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
32,Egg Omelette,breakfast,405.0,46.3,30.9,12.3,9.7,429.0,all,energy,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
33,Protein Pancakes,breakfast,524.0,32.5,65.6,24.9,4.0,429.0,all,energy,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
34,Greek Yogurt Bowl,breakfast,524.0,16.7,56.3,9.4,5.4,244.0,all,anti_inflammatory,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
35,Vegetable Omelette,breakfast,444.0,48.3,45.5,19.9,3.6,431.0,all,energy,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
36,Almond Oatmeal,breakfast,428.0,16.2,45.9,28.5,9.6,401.0,all,high_protein,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
37,Banana Pancakes,breakfast,459.0,14.4,58.1,27.1,9.9,310.0,all,high_protein,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
38,Berry Smoothie,breakfast,622.0,27.8,56.1,27.7,5.7,374.0,all,high_protein,,2026-03-05 16:49:56,2026-03-05 16:49:56
39,Peanut Butter Toast,breakfast,524.0,35.3,21.3,5.2,3.1,182.0,all,high_protein,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
40,Almond Oatmeal,breakfast,402.0,48.0,36.3,7.7,4.0,226.0,all,recovery,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
41,Muesli Bowl,breakfast,317.0,43.8,52.5,23.8,12.0,326.0,all,recovery,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
42,Peanut Butter Toast,breakfast,502.0,36.4,33.9,26.9,7.1,344.0,all,muscle_gain,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
43,Egg Omelette,breakfast,390.0,19.2,59.4,18.3,8.7,316.0,all,muscle_gain,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
44,Avocado Toast,breakfast,377.0,12.3,25.9,11.8,9.0,282.0,all,anti_inflammatory,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
45,Vegetable Omelette,breakfast,369.0,39.7,43.5,17.8,8.3,190.0,all,anti_inflammatory,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
46,Chia Pudding,breakfast,617.0,35.8,28.8,19.5,7.9,355.0,all,muscle_gain,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
47,Greek Yogurt Bowl,breakfast,315.0,39.5,64.8,8.3,7.1,406.0,all,energy,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
48,Banana Pancakes,breakfast,582.0,35.5,69.4,20.3,6.1,175.0,all,anti_inflammatory,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
49,Peanut Butter Toast,breakfast,452.0,30.3,47.6,19.6,4.2,166.0,all,high_protein,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
50,Granola Yogurt,breakfast,614.0,44.8,66.7,20.2,6.5,234.0,all,muscle_gain,,2026-03-05 16:49:56,2026-03-05 16:49:56
51,Avocado Toast,breakfast,513.0,32.5,43.9,11.3,5.2,438.0,all,anti_inflammatory,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
52,Banana Pancakes,breakfast,414.0,28.9,46.7,22.8,3.1,432.0,all,energy,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
53,Oatmeal Bowl,breakfast,485.0,45.3,42.0,22.5,5.7,243.0,all,high_protein,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
54,Oatmeal Bowl,breakfast,344.0,34.6,31.5,9.6,6.6,200.0,all,high_protein,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
55,Almond Oatmeal,breakfast,359.0,19.4,53.8,19.4,8.4,179.0,all,anti_inflammatory,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
56,Muesli Bowl,breakfast,364.0,49.4,42.4,21.8,3.4,361.0,all,anti_inflammatory,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
57,Berry Smoothie,breakfast,441.0,25.1,64.5,22.3,8.2,323.0,all,anti_inflammatory,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
58,Almond Oatmeal,breakfast,360.0,12.6,41.6,18.6,5.0,275.0,all,anti_inflammatory,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
59,Apple Cinnamon Oats,breakfast,327.0,20.0,47.8,22.2,7.5,159.0,all,anti_inflammatory,,2026-03-05 16:49:56,2026-03-05 16:49:56
60,Berry Smoothie,breakfast,618.0,43.0,24.1,29.4,8.7,321.0,all,anti_inflammatory,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
61,Granola Yogurt,breakfast,316.0,27.0,56.6,23.1,7.1,365.0,all,high_protein,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
62,Chia Pudding,breakfast,464.0,20.5,50.6,17.7,3.4,175.0,all,energy,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
63,Vegetable Omelette,breakfast,543.0,25.4,52.4,5.9,10.6,232.0,all,high_protein,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
64,Oatmeal Bowl,breakfast,429.0,47.7,67.6,18.2,10.6,279.0,all,anti_inflammatory,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
65,Protein Pancakes,breakfast,412.0,29.0,58.0,28.8,3.0,248.0,all,high_protein,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
66,Granola Yogurt,breakfast,576.0,38.1,51.5,6.3,5.3,308.0,all,high_protein,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
67,Vegetable Omelette,breakfast,380.0,22.9,49.0,10.9,2.8,406.0,all,anti_inflammatory,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
